Name,National Libraries,Academic Libraries,Public Libraries,School Libraries,Other Libraries,National Libraries with Internet Access,Academic Libraries with Internet Access,Public Libraries with Internet Access,School Libraries with Internet Access,Other Libraries with Internet Access,National Full-Time Staff,Academic Full-Time Staff,Public Full-Time Staff,Other Full-Time Staff,National Volunteers,Academic Volunteers,Public Volunteers,National Registered Users,Academic Registered Users,Public Registered Users,Other Registered Users,National Physical Visits,Academic Physical Visits,Public Physical Visits,Other Physical Visits,National Physical Loans (books),Academic Physical Loans (books),Public Physical Loans (books),School Physical Loans (books),Other Physical Loans (books),Public Physical Loans (documents on physical carrier),Academic Electronic loans (eBooks),Public Electronic loans (eBooks),Public Electronic Loans (audio books),Academic Electronic Loans (downloads),Public Electronic Loans (downloads),School Full-Time Staff,School Volunteers,School Registered Users,School Physical Visits,Academic Physical Loans (documents on physical carrier),Other Physical Loans (documents on physical carrier),Other Electronic loans (eBooks),Academic Electronic Loans (audio books),Other Electronic Loans (audio books),Other Electronic Loans (downloads),Community Libraries,Community Libraries with Internet Access,Community Full-Time Staff,Community Volunteers,Other Volunteers,National Electronic Loans (downloads),Community Registered Users,Community Physical Visits,Community Physical Loans (books),Community Physical Loans (documents on physical carrier),Community Electronic loans (eBooks),Community Electronic Loans (audio books),Community Electronic Loans (downloads),National Physical Loans (documents on physical carrier),School Physical Loans (documents on physical carrier),National Electronic Loans (audio books),School Electronic Loans (downloads),National Electronic loans (eBooks),School Electronic loans (eBooks),School Electronic Loans (audio books)
Bulgaria,1,66,2802,1065,4,1,66,1659,,4,206,515,2832,75,,,,9295,127957,643501,2883,594934,1713752,7449014,14916,368210,2408932,12268863,2519338,29900,,,,,,,603,,243561,1933356,,,,,,,,,,,,,,,,,,,,738,,,,,,
Czechia,1,303,6220,3778,438,1,42,5338,,128,455,1074,4777,952,,,2679,24523,502804,1359336,225466,423914,4317488,21930473,877889,536312,1656341,54828826,2400657,1437742,96981,,33082,,,40895333,190,4750,1041889,,,,,,,448436,,,,,41,10118574,,,,,,,,155,,,,5837,,
Hungary,1,209,3386,3378,59,1,173,3162,,47,485,1526,3885,90,28,106,1239,8941,470316,1801602,27971,37147,5101270,16956700,184588,82554,2687194,24559357,7782914,353947,127760,,,,38344606,34564926,1232,,1036228,5417618,25986,1761,,,,74423,35,30,68,18,117,21398761,22505,345784,235018,335,,,618401,372,,,,,,
Poland,1,1001,8050,20363,673,,742,7088,,427,,8456,14076,1659,,,,,2844430,7746564,651564,,17383904,75927492,2917464,,33767240,132689529,,6693340,226602,,,1319345,39426879,16053322,22284,,4689182,,53470,36006,,119610,12259,2843855,,,,,,,,,,,,,,,,,,,,
Republic of Moldova,2,27,1336,1304,21,2,27,1055,404,16,292,367,2410,142,,,,17109,91777,793137,10025,178774,1588381,7642484,67083,707513,2928511,12112188,8981282,663961,76,,,,22685,4355,921,,403897,5855338,12840,13940,,,,,,,,,,85,,,,,,,,76,12,,28924,,,
Romania,3,108,2406,7133,564,,,,,,371,1491,4202,305,,,,61417,304637,1400662,73957,,,,,364853,6076161,18861371,14711657,623689,,8025950,,,373500,,142,,1739079,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,3,1579,37412,42621,5114,3,1506,25116,41582,2813,2845,,126686,,,,,366476,6518570,50116194,2687972,1784186,121577306,415083334,26289186,8390592,,974367451,,58004659,,,,,,3066646,,,14394169,126045423,,,,,,38246,,,,,,16119982,,,,,,,,,,,,,,
Slovakia,15,112,1669,1525,266,8,60,705,704,136,745,606,1330,204,23,,388,52000,159393,399138,51032,788882,1327700,4910919,279574,1717753,2470243,14270816,1439783,604329,44696,,,,2136676,3049,264,,238118,1405748,99252,42197,,,,35396,,,,,48,479283,,,,,,,,28027,8381,,0,,,
Ukraine,8,295,15912,16166,793,8,262,4396,4868,257,1690,5050,21000,1670,,,,335980,1461490,11372400,377900,1617400,53349406,95803300,8104030,6176950,85448600,265540600,259114050,20444100,510000,21743140,,270400,20408920,,13754,,378300,2648100,331050,435900,,,,51290,,,,,,26273000,,,,,,,,233000,,46760,,28700,,
Denmark,2,,437,,,2,,437,,,674,,3867,,,,2185,60592,,1900000,,2222789,,37700000,,,,26780412,,,8309803,,2611179,4599542,,,,,,,,,,,,,,,,,,21079615,,,,,,,,,,,,,,
Estonia,2,7,532,354,32,2,7,526,354,32,243,297,1118,115,,,181,48733,154832,353510,27632,135125,691241,5596643,255729,76059,806851,10154223,2369684,260007,,717808,24762,,22290358,,334,,159482,2638837,,,2529,,,69265,,,,,,,,,,,,,,,,,,,,
Finland,1,152,854,,,1,152,854,,,222,1307,3466,,,,,,1073494,1961227,,138650,9936572,49824877,,32705,2348621,85215658,,,6996961,11032,797269,,62220415,1221243,,,,,,,,,,,,,,,,7800000,,,,,,,,,,,,,,
Iceland,1,,,,,1,,,,,70,,,,0,,,14155,,,,,,,,46694,,,,,,,,,,,,,,,,,,,,,,,,,,1230870,,,,,,,,999,,,,,,
Ireland,3,31,357,,,3,31,,,,83,526,1525,,,,,2761,127700,754748,,247242,6805072,17270751,,,1048068,17983358,,,,,,,12261880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,1,48,789,732,27,1,48,789,732,27,207,301,1686,42,,,,26218,99984,415949,8873,442222,1736400,5854538,43088,334532,1722713,10982917,5831517,165596,40002,,,,,,851,,260560,4159219,560111,9633,,,,,,,,,,,,,,,,,,115585,30448,,,,,
Lithuania,1,111,1304,1180,139,1,104,1278,1090,48,393,754,3042,132,20,9,78,14597,184575,607001,16532,470530,3777319,10352235,136187,828219,3159628,16861571,4691219,277292,,,,,25344472,6038348,1199,21,340252,6781771,,,,,,402079,,,,,0,4918214,,,,,,,,,,,138546,,,
Norway,1,52,740,2426,137,1,,,,,400,943,1754,281,,,,,,,,166204,8398289,22617127,88857,87361,1341056,13039083,8513205,123968,5115516,,,,20418610,626503,714,,,,,,,,,1177262,,,,,,4439050,,,,,,,,,113477,,9207,,,
Sweden,4,113,1192,869,128,4,113,1109,869,98,336,1618,4943,433,,,,7625,306988,2638003,151640,125362,12575303,63106307,858547,144743,5621915,56439014,5275899,805761,285952,10342433,2296562,,76027155,5143823,928,,497180,5162336,362,34382,1367901,,,3614073,,,,,,138782,,,,,,,,,,,77569,62,46053,
